"zip","population","city","county"
"98821",1000,"Dryden","Chelan"
"98934",995,"Kittitas","Kittitas"
"99123",992,"Electric City","Grant"
"98416",973,"Tacoma","Pierce"
"98603",961,"Ariel","Cowlitz"
"98262",955,"Lummi Island","Whatcom"
"98836",953,"Monitor","Chelan"
"98358",943,"Nordland","Jefferson"
"99033",927,"Tekoa","Whitman"
"98572",925,"Pe Ell","Lewis"
"99030",905,"Rockford","Spokane"
"98649",860,"Toutle","Cowlitz"
"98639",855,"North Bonneville","Skamania"
"99130",855,"Garfield","Whitman"
"98355",846,"Mineral","Lewis"
"98326",840,"Clallam Bay","Clallam"
"98220",839,"Acme","Whatcom"
"98336",824,"Glenoma","Lewis"
"98565",807,"Napavine","Lewis"
"99118",794,"Curlew","Ferry"
"98587",784,"Taholah","Grays Harbor"
"99040",784,"Wellpinit","Stevens"
"98134",779,"Seattle","King"
"98323",757,"Carbonado","Pierce"
"98396",749,"Wilkeson","Pierce"
"98447",744,"Tacoma","Pierce"
"98814",739,"Carlton","Okanogan"
"98276",713,"Nooksack","Whatcom"
"99167",710,"Rice","Stevens"
"99032",698,"Sprague","Lincoln"
"98361",696,"Packwood","Lewis"
"98279",693,"Olga","San Juan"
"99341",687,"Lind","Adams"
"99129",671,"Fruitland","Stevens"
"99143",668,"Lacrosse","Whitman"
"99023",641,"Mica","Spokane"
"98585",630,"Silver Creek","Lewis"
"98535",614,"Copalis Beach","Grays Harbor"
"98619",613,"Glenwood","Klickitat"
"98438",610,"Mcchord Afb","Pierce"
"98941",608,"Roslyn","Kittitas"
"98530",608,"Bucoda","Thurston"
"99125",603,"Endicott","Whitman"
"99113",600,"Colton","Whitman"
"99157",589,"Northport","Stevens"
"99158",585,"Oakesdale","Whitman"
"98824",582,"George","Grant"
"98243",548,"Deer Harbor","San Juan"
"98673",544,"Wishram","Klickitat"
"99134",531,"Harrington","Lincoln"
"99117",530,"Creston","Lincoln"
"98552",526,"Humptulips","Grays Harbor"
"98050",523,"Preston","King"
"98350",520,"La Push","Clallam"
"98068",497,"Snoqualmie Pass","King"
"98830",492,"Mansfield","Douglas"
"98590",491,"Tokeland","Pacific"
"99103",489,"Almira","Lincoln"
"99140",489,"Keller","Ferry"
"99321",488,"Beverly","Grant"
"98644",481,"Seaview","Pacific"
"98925",477,"Easton","Kittitas"
"99102",473,"Albion","Whitman"
"99008",470,"Edwall","Lincoln"
"99179",458,"Uniontown","Whitman"
"98946",454,"Thorp","Kittitas"
"98829",451,"Malott","Okanogan"
"98533",451,"Cinebar","Lewis"
"99322",448,"Bickleton","Klickitat"
"98940",445,"Ronald","Kittitas"
"99346",443,"Plymouth","Benton"
"98581",424,"Ryderwood","Cowlitz"
"99153",422,"Metaline Falls","Pend Oreille"
"98827",421,"Loomis","Okanogan"
"98613",407,"Centerville","Klickitat"
"98280",384,"Orcas","San Juan"
"98538",378,"Curtis","Lewis"
"99401",376,"Anatone","Asotin"
"99135",374,"Hartline","Grant"
"99128",371,"Farmington","Whitman"
"98256",369,"Index","Snohomish"
"98385",362,"South Prairie","Pierce"
"99137",357,"Hunters","Stevens"
"98643",355,"Rosburg","Wahkiakum"
"98283",350,"Rockport","Skagit"
"98305",349,"Beaver","Clallam"
"98345",339,"Keyport","Kitsap"
"99371",327,"Washtucna","Adams"
"99121",327,"Danville","Ferry"
"99150",310,"Malo","Ferry"
